row_id,waktu,tweet_id,username,tweet,web,lokasi
27,2/21/2021 20:25,1.37E+18,Suwarno,"Perpanjangan   harus dibarengi dengan penegakan disiplin bagi seluruh masyarakat terutama di tengah tengah masyarakat terutama diarea yg  nya masih kurang baikkarena boro boro mau beli masker dan ganti masker tiap hari, buat beli makan saja harus mencari dahulu. Hemat saya kl kebijakan   hanya fokus pada intansi2 resmi pasti hasilnya tidak maksimalkarena diluar intansi tsb banyak masyarakat yg tidak patuh protokol kesehatankarena berbagai alasan yg salah satunya kemampuan   utk melaksanakan program   tersebut. berikan bantuan dan fokus pada masyarakat yg kurang mampu sehingga   akan lebih maksimal.",,
28,2/23/2021 13:22,1.37E+18,Ammari,Kebijakan Pemberlakukan Pembatasan Kegiatan Masyarakat ( ) berskala   yang ditetapkan pemerintah berpotensi memulihkan sektor   Indonesia di tengah pandemi virus corona.Penurunan ini tidak bisa dilepaskan    dari    kebijakan  ,,
29,3/2/2021 20:22,1.37E+18,SurveiQ,"Pemerintah Lebih Siap, Efek Negatif   Hanya Jangka Pendek. Tekanan dampak negatif   tidak berlangung lama hanya jangka pendek sementara untuk jangka panjang bisa positif bagi   karena saat pandemi terkendali maka   bisa tumbuh positif",,
30,1/12/2021 11:42,1.37E+18,CNBC,"    Dinilai Diskriminatif dan Tidak Akan Efektif.   skala   mendapatkan kritik karena menyimpang    dari    konsep semula. Selain itu, kebijakan yang diberlakukan di Indonesia ini juga dinilai diskriminatif terhadap   masyarakat kecil, juga dikhawatirkan tidak akan efektif menghentikan penularan Covid-19",,
31,2/2/2021 18:25,1.37E+18,biosaya,"evaluasi    , warga sebagian mendukung namun sepertinya masyarakat kecil kesulitan mendapatkan pekerjaan utama dan pemotongan biaya rumah dan gaji dikhawatirkan menghancurkan   masyarakat kecil, instruksi pemerintah harapannya dievaluasi kembali ",,
32,2/19/2021 13:15,1.37E+18,jintung ayah,"Industri pariwisata Makin Terpuruk Akibat   Jawa-Bali. Deddy merasa sektor pariwisata disudutkan dalam penambahan kasus Covid 19 selama ini. Padahal, khusus di sektor hotel dan restoran verifikasi protokol kesehatan yang dilakukan pemerintah daerah sudah ketat",,
33,1/8/2021 16:45,1.37E+18,voaindonesia,"Hampir sepuluh bulan pandemi ini, kata Deddy, membuat pengelola hotel dan restoran tercekik dan terengah-engah. Padahal, mereka tidak cukup bertahan, tetapi juga harus terus mengeluarkan biaya cukup tinggi untuk operasional.",,
34,1/8/2021 16:45,1.37E+18,voaindonesia,"menyoal  , sektor pariwisata mengharapkan ada pengawasan penerapan   secara ketat sesuai dengan aturan yang sudah ditetapkan. Dengan demikian, apa yang diharapkan melalui pembatasan itu bisa menemui hasil. Jika tidak serius, dua sektor akan sama-sama menanggung dampak buruk, yaitu sektor kesehatan yang tidak terselesaikan dan sektor   yang justru kian terpuruk",,
35,1/8/2021 16:45,1.37E+18,voaindonesia,"Masih Banyak Pelanggaran,   Dinilai Tak Efektif Tekan Penularan Covid-19. lembaga pendidikan  di tempat makan sebanyak dan di tempat ibadah selama   banyak terjadi, ada respons yang tidak jelas seperti baik akan ditindaklanjuti ke bidang terkait, kami belum puas karena kami belum melihat indikatornya",,
36,4/22/2021 15:16,1.37E+18,Kadin    dari   ,"PKKM diperpanjang, pemerintah harus tegas tutup tempat tempat pariwisata, iya gak? Syaratnya harus jelas jangan mudik dilarang tapi pariwisata boleh ngawur",,
